,Expense,Category,SubCat
,Spark Sport            Auckland      Nzl,Subscriptions,SparkSport
,Farro Fresh Epsom      Epsom         Nz,Groceries,
,Look Sharp Mt Wellingt Auckland      Nz,Shopping,Look Sharp
,Pandora                Australia     Nz,Shopping,Pandora
,Animates Botany Downs  Botany Downs  Nz,Groceries,Pet Food
,Pak N Save Sylvia Park Auckland      Nz,Groceries,
,Countdown St Johns     Auckland      Nzl,Groceries,
,At Food Culture        Half Moon Bay Nz,Takeaways,
,Soulfood Group Ltd     Auckland      Nz,Takeaways,
,Golden Olive           Auckland      Nz,Takeaways,
,Spotify P1235A34F4     Stockholm     Se,Subscriptions,Spotify
,Audible*209Tj7Nz0      Amzn.Com/Bill Nj,Subscriptions,Audible
,Curiositystream        Httpswww.Curi Md,Shopping,CuriosityStream
,H&M Botany             Auckland      Nzl,Shopping,H&M
,Burger King            Highland Park Nzl,Takeaways,
,Farm Cove Bakery       Farm Cove     Nz,Takeaways,
,Yoyoso Botany          Auckland      Nz,Shopping,
,Lovisa Botany          Auckland      Nz,Shopping,
,Grabone                Whangarei     Nz,Shopping,Grabone
,Karajoz Coffee Company Auk           Nz,Shopping,
,Cinnamon Cafe          Half Moon Bay Nz,Takeaways,
,Baby City Mt Wellingto Auckland      Nz,Shopping,Baby City
,Kfc Pakuranga - 551    Pakuranga     Nz,Takeaways,
,Hallensteins 11 Bota   Manukau       Nzl,Shopping,Hallenstein
,Spotify P11Ca4B501     Stockholm     Se,Subscriptions,Spotify
,Audible*Mk9Tm77J0      Amzn.Com/Bill Nj,Subscriptions,Audible
,Grangers Tap House     Auckland      Nz,Takeaways,
,Countdown Online       Auckland      Nzl,Groceries,
,The Coffee Club High   Highland Park Nzl,Takeaways,
,Unichem Aviemore Pha   Highland Park Nzl,Doctor,
,Spotify P115E92F5E     Stockholm     Se,Subscriptions,Spotify
,Dominos Estore Highlan Dominos.Co.Nz Nz,Takeaways,
,Audible*Mu7Pv4Y92      Amzn.Com/Bill Nj,Subscriptions,Audible
,St Heliers Bay Cafe    Auckland      Nz,Takeaways,
,Tai Wah                Auckland      Nz,Takeaways,
,Account Fee,Interest,Account Fee
,Treasurebox            Dunedin       Nz,Shopping,Treasurebox
,Spotify P10F544F04     Stockholm     Se,Subscriptions,Spotify
,Kfc Pakuranga 551      Auckland      Nz,Takeaways,
,Torpedo7               Hamilton      Nz,Shopping,Torpedo 7
,Roma Coffee            Auckland      Nz,Takeaways,
,Audible*Mf53G8720      Amzn.Com/Bill Nj,Subscriptions,Audible
,Google  Asoftmurmur    Auckland      Nz,Shopping,
,Evolution Cycles Onl   Hamilton      Nzl,Shopping,Evo Cycles
,Z Harris Road          East Tamaki   Nz,Fuel,
,Sp *Jackscoffee        Mission Bay   Nz,Takeaways,
,Spotify P109492201     Stockholm     Se,Subscriptions,Spotify
,Auckland Museum        Parnell       Nz,Shopping,Auckland Museum
,Audible*Mj54L9Ip0      Amzn.Com/Bill Nj,Subscriptions,Audible
,Sp * But First Coffee  Lower Hutt    Nz,Shopping,
,Subway Botany Downs    Auckland      Nzl,Takeaways,
,Dunkin Donuts Botany   Auckland      Nz,Takeaways,
,Trademe 3S87 Ping      Wellington    Nz,Shopping,TradeMe
,Coca-Cola Amatil       Mascot        Au,Takeaways,
,Supershuttle/Custom    Auckland      Nzl,Travel,Super Shuttle
,Brenthurst Auto        Brakpan       Za,Fuel,
,Checkershyper Carnival Sb030326      Za,Groceries,
,Woolworths             Carnival      Za,Groceries,
,Spotify P0F007Fc7A     Stockholm     Se,Subscriptions,Spotify
,Superspar Monument Par Kgp           Za,Groceries,
,Mondanette Slag   9244 Pretoria      Za,Groceries,
,Ackermans Monument     Pretoria      Za,Shopping,Ackermans
,Woolworths             Menlyn        Za,Groceries,
,Parrots Coffee Shop    Menlyn        Za,Takeaways,
,Cok Menlo Park 0912    Menlopark     Za,Takeaways,
,Old Khaki Menlyn New - Pretoria      Za,Shopping,Old Khaki
,Interpark Menlyn       Gauteng       Za,Parking,
,Superspar Monument Par Kgp           Za,Groceries,
,Sasol Dalpark          Dalpark       Za,Fuel,
,Romans Pizza Waterkl   Waterkloof    Za,Takeaways,
,Pep 6701 Springs Mall  Gp            Za,Shopping,Pep
,Audible*R564N69E3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Mugg And Bean          Springs       Za,Takeaways,
,Montecasino Food And B Fourways      Za,Takeaways,
,Fig On The Rock   9290 Brakpan       Za,Takeaways,
,Pnp Fam Sherwood       Brakpan North Za,Groceries,
,Drs Saaiman And Van St Brakpan       Za,Doctor,
,Ikh*Mhs Grove          La Lucia      Za,Takeaways,
,Roman'S Pizza Mall@Car Brakpan       Za,Takeaways,
,Mr Biltong        9803 Brakpan       Za,Takeaways,
,Monument Park Motors   Monumentpark  Za,Fuel,
,Toy Zone Mall@Carnival Brakpan       Za,Shopping,Toy Zone
,Dischem Carnival Mall  Brakplan      Za,Shopping,DisChem
,Baby City Mall@Carniva Brakpan       Za,Shopping,Baby City
,Emirates Leisure Ret   Sydney Intern Au,Takeaways,
,Allianz Partners       Auckland      Nzl,Misc,
,Super Cheap Auto       Auckland      Nzl,Misc,Car
,Netflorist             Https://Www.N Mu,Misc,Gifts to SA
,Spotify P137Ff0510     Stockholm     Se,Subscriptions,Spotify
,Audible*L28Lb4Ci3      Amzn.Com/Bill Nj,Subscriptions,Audible
,Black Dog Cafe         Matakana      Nz,Takeaways,
,Late Payment Fee,Misc,
,Kmart New Zealand Lt   Auckland      Nz,Shopping,K-Mart
,Spark Sport            Auckland      Nz,Subscriptions,SparkSport
,Spark Prepaid          0800323232    Nz,Cellphone,
,Spark Phone Account    Auckland      Nz,Internet,
,Fisher House           Auckland      Nz,Takeaways,
